
Ruman Kontrakan Silanjang RIANIATE ,kecamatan PANGURURAN, SAMOSIR |Jalan Silanjang, Rianiate, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 23392|0812-2006-5541|Alamat web tidak ditemukan|Rumah Kontrakan Silanjang|2.5556184|98.7247621|Guest house|Tidak ada review|Tidak ada review
PemandianAir Panas Rianiate RIANIATE ,kecamatan PANGURURAN, SAMOSIR |GPJM+6F5, Rianiate, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22393|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Pemandian Air Panas Rianiate|2.5305201|98.7337322|Tujuan Wisata|Tidak ada review|Tidak ada review
Opvincent br Nainggolan RIANIATE ,kecamatan PANGURURAN, SAMOSIR |HP4H+48C, Rianiate, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Op.vincent br Nainggolan|2.5553054|98.7282582|Rumah Kayu|Tidak ada review|Tidak ada review
SDN14Rianiate RIANIATE ,kecamatan PANGURURAN, SAMOSIR |HP3H+F98, Rianiate, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SDN 14 Rianiate|2.5536712|98.7284382|Sekolah menengah|Tidak ada review|Tidak ada review
Batu Piso RIANIATE ,kecamatan PANGURURAN, SAMOSIR |HP3H+XX, Rianiate, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Batu Piso|2.555155|98.73034|Komplek perumahan|Tidak ada review|Tidak ada review
Kezya Grosir Minimarket RIANIATE ,kecamatan PANGURURAN, SAMOSIR |Jl. Simbolon Purba No.16, Rianiate, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kezya Grosir|2.554256|98.7262287|Minimarket|Tidak ada review|Tidak ada review
Op Lasden RIANIATE ,kecamatan PANGURURAN, SAMOSIR |HP3G+CPG, Jl. Simbolon Purba, Rianiate, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0813-7007-4411|Alamat web tidak ditemukan|Op. Lasden|2.5535657|98.7268292|Kedai Kopi|Tidak ada review|Tidak ada review
ANUGERAH VIDEO SHOOTING VIDEO RIANIATE ,kecamatan PANGURURAN, SAMOSIR |Rianiate, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22390|0812-6234-6732|Alamat web tidak ditemukan|ANUGERAH VIDEO ( SHOOTING VIDEO DAN FOTOGRAPHER)|2.5536614|98.7266757|Jasa Rekaman Video|Tidak ada review|Tidak ada review
Marsada Shop Toko Pakaian RIANIATE ,kecamatan PANGURURAN, SAMOSIR |HP3F+CX2, Rianiate, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|0822-7448-1549|Alamat web tidak ditemukan|Marsada Shop|2.5535241|98.724885|Toko Pakaian|Tidak ada review|Tidak ada review
Gereja Katolik Stasi Santo Fransiskus Rianiate RIANIATE ,kecamatan PANGURURAN, SAMOSIR |HP3F+FXG, Rianiate, Kec. Pangururan, Kabupaten Samosir, Sumatera Utara 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Gereja Katolik Stasi Santo Fransiskus, Rianiate|2.5536812|98.72495|Gereja Katolik|Tidak ada review|Tidak ada review
SanZos Villa Samosir RIANIATE ,kecamatan PANGURURAN, SAMOSIR |HP3F+2Q2, Jalan Gereja Khatolik, Rianiate, Pangururan, Samosir Regency, North Sumatra 22392|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|SanZos Villa Samosir|2.5525053|98.7243924|Vila|Tidak ada review|Tidak ada review
