Place|Address|Phone Number|Website|Actual Place Name|Latitude|Longitude|Place Type|Latest Review|Review Date
Doorsmeer Bang Ben Mahendra Group TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV53+4WG Sitio Parsaoran, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0822-7477-7522|Alamat web tidak ditemukan|Doorsmeer Bang Ben (Mahendra Group)|2.6578237|98.8548296|Tempat Pencucian Mobil|Tidak ada review|Tidak ada review
pondok kolding tomok samosir TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV36+C6F, Jl. Pelabuhan Tomok, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara|0813-7029-6461|Alamat web tidak ditemukan|pondok kolding tomok samosir|2.6535593|98.8605395|Restoran|Tidak ada review|Tidak ada review
ArRentCar TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |parsaoran, Parluasan tomok, Tomok, Simanindo, Samosir Regency, North Sumatra 22395|0813-6277-4865|https://www.facebook.com/ronny.b.silalahi?mibextid=LQQJ4d|ArRentCar|2.6534512|98.8616069|Agen Sewa Mobil|Tidak ada review|Tidak ada review
TokoSirega TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal|Gagal
 Gallery ambarita TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Jl. Pelabuhan Tomok, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Gallery ambarita|2.6532778|98.8612746|Toko Kerajinan Tangan|Tidak ada review|Tidak ada review
RUMAH MAKAN REZEKI BAROKAH TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Garoga, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|RUMAH MAKAN REZEKI BAROKAH|2.6547926|98.8585043|Restoran|Tidak ada review|Tidak ada review
Kedai Kopi HARIANJA TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Jl. Pelabuhan Tomok, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Kedai Kopi HARIANJA|2.6546688|98.8587358|Kedai Kopi|Tidak ada review|Tidak ada review
Villa Mulia Tomok TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Jl. Pelabuhan Tomok, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara|0821-1494-7732|Alamat web tidak ditemukan|Villa Mulia Tomok|2.6543529|98.8586253|Vila|Tidak ada review|Tidak ada review
Hula Hula Citra Handycraft TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV36+P3W, Jalan Pulau Samosir Desa Tomok, Parsaoran, Simanindo, Toba, Sumatera Utara 22395|0813-7028-8528|Alamat web tidak ditemukan|Hula Hula Citra Handycraft|2.6543524|98.8602003|Pengekspor kerajinan tangan|Tidak ada review|Tidak ada review
TOKO Indah Silalahi TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Garoga, Simanindo, Kabupaten Samosir, Sumatera Utara|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|TOKO Indah Silalahi|2.6542615|98.859689|Toko bahan makanan|Tidak ada review|Tidak ada review
Pangkalan Gas LPG 3 KG TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |MV44+9J9, Garoga, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|Nomor telepon tidak ditemukan|Alamat web tidak ditemukan|Pangkalan Gas LPG 3 KG|2.6559215|98.856621|Agen Gas Elpiji|Tidak ada review|Tidak ada review
Es jagung Hawai samosir TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0813-7541-2550|Alamat web tidak ditemukan|Es jagung Hawai samosir|2.6557894|98.8565752|Paket Makanan Pokok|Tidak ada review|Tidak ada review
Warungjawa sapria muslim Brunch TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Jl. Horas, Tomok, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0813-7668-0828|Alamat web tidak ditemukan|Warung jawa sapria muslim|2.6556941|98.8569641|Kedai Sarapan & Makan Siang|Tidak ada review|Tidak ada review
Nauli homestay TOMOK PARSAORAN ,kecamatan SIMANINDO, SAMOSIR |Jl. Horas No.11B, Kelurahan Tomok Parsaoran, Simanindo, Kabupaten Samosir, Sumatera Utara 22395|0813-6199-1081|https://wa.me/6281361991081|Poda Nauli homestay|2.6577132|98.8558106|Pondok|Tidak ada review|Tidak ada review
